date,pm25_kor_df,pm10_kor_df,o3_kor_df,no2_kor_df,so2_kor_df,co_kor_df,pm25_china_df,pm10_china_df,o3_china_df,no2_china_df,so2_china_df,co_china_df,Wind Speed(m/s),Humidity(%)
2015-01-01,54.0,29.5,16.5,22.0,8.5,4.0,239.22222222222223,140.55555555555554,29.944444444444443,43.111111111111114,33.22222222222222,37.666666666666664,4.82,53.105
2015-01-02,57.5,39.0,5.0,41.5,11.0,7.0,188.28571428571428,75.71428571428571,25.071428571428573,23.5,19.714285714285715,12.785714285714286,3.47,55.11
2015-01-03,77.0,41.5,4.0,54.0,10.0,7.5,131.28571428571428,86.28571428571429,17.285714285714285,28.5,28.428571428571427,16.0,2.2649999999999997,58.3
2015-01-04,85.0,64.0,3.5,58.0,11.5,10.5,153.07142857142858,112.64285714285714,17.357142857142858,36.5,35.357142857142854,20.571428571428573,1.845,71.63
2015-01-05,122.5,37.0,19.0,22.5,7.5,5.5,189.0,132.42857142857142,21.357142857142858,43.285714285714285,34.57142857142857,20.428571428571427,1.9100000000000001,76.38
2015-01-06,57.5,35.0,18.5,50.0,22.5,4.0,206.07142857142858,145.71428571428572,19.285714285714285,47.142857142857146,37.357142857142854,23.857142857142858,4.79,57.14
2015-01-07,57.0,42.5,12.0,57.5,32.0,5.5,224.42857142857142,112.07142857142857,24.428571428571427,35.42857142857143,29.428571428571427,16.928571428571427,3.625,44.795
2015-01-08,97.77777777777777,51.166666666666664,16.666666666666668,55.05555555555556,26.11111111111111,10.777777777777779,182.35714285714286,92.07142857142857,21.428571428571427,28.142857142857142,25.5,15.642857142857142,2.89,55.455
2015-01-09,101.54545454545455,51.09090909090909,22.545454545454547,40.36363636363637,12.909090909090908,11.272727272727273,159.0,102.35714285714286,16.0,32.285714285714285,28.357142857142858,18.5,2.7,60.56
2015-01-10,87.81818181818181,47.72727272727273,25.636363636363637,29.454545454545453,11.454545454545455,9.272727272727273,170.78571428571428,110.21428571428571,16.928571428571427,33.42857142857143,30.428571428571427,19.857142857142858,2.6599999999999997,57.85
2015-01-11,84.0909090909091,49.72727272727273,22.0,38.36363636363637,13.363636363636363,10.0,180.0,145.14285714285714,15.642857142857142,34.0,31.857142857142858,22.428571428571427,3.775,58.544999999999995
2015-01-12,89.63636363636364,63.27272727272727,16.727272727272727,58.45454545454545,17.0,13.909090909090908,222.5,116.21428571428571,18.785714285714285,29.5,22.928571428571427,17.285714285714285,2.325,52.964999999999996
2015-01-13,109.18181818181819,66.9090909090909,17.09090909090909,61.90909090909091,17.0,14.727272727272727,187.92857142857142,93.42857142857143,19.142857142857142,26.928571428571427,23.928571428571427,13.357142857142858,1.53,58.425
2015-01-14,119.36363636363636,60.36363636363637,17.0,51.90909090909091,15.454545454545455,13.363636363636363,165.78571428571428,100.64285714285714,29.785714285714285,28.857142857142858,27.071428571428573,14.785714285714286,1.64,63.19500000000001
2015-01-15,114.9090909090909,75.36363636363636,23.09090909090909,39.36363636363637,14.818181818181818,13.181818181818182,166.85714285714286,95.57142857142857,26.0,30.857142857142858,26.928571428571427,15.0,2.465,68.325
2015-01-16,145.27272727272728,39.72727272727273,25.454545454545453,26.09090909090909,10.454545454545455,7.181818181818182,153.57142857142858,103.71428571428571,27.857142857142858,34.785714285714285,34.92857142857143,17.214285714285715,3.3600000000000003,72.96000000000001
2015-01-17,76.0909090909091,35.0,22.272727272727273,35.45454545454545,12.090909090909092,8.181818181818182,167.28571428571428,101.85714285714286,35.07142857142857,33.642857142857146,27.571428571428573,15.214285714285714,4.25,49.589999999999996
2015-01-18,69.45454545454545,62.81818181818182,25.09090909090909,30.818181818181817,12.727272727272727,9.909090909090908,166.14285714285714,115.85714285714286,25.428571428571427,36.07142857142857,29.357142857142858,19.0,2.9650000000000003,62.09499999999999
2015-01-19,123.45454545454545,56.0,18.0,46.09090909090909,13.818181818181818,10.090909090909092,192.35714285714286,138.85714285714286,24.0,43.785714285714285,33.92857142857143,23.428571428571427,3.9799999999999995,61.3
2015-01-20,101.18181818181819,64.9090909090909,9.818181818181818,54.27272727272727,14.909090909090908,13.818181818181818,219.35714285714286,116.5,24.928571428571427,35.5,28.785714285714285,18.285714285714285,1.765,66.10499999999999
2015-01-21,121.0,49.45454545454545,19.818181818181817,40.54545454545455,10.909090909090908,10.818181818181818,194.53846153846155,123.0,24.153846153846153,34.15384615384615,28.923076923076923,18.23076923076923,1.535,76.965
2015-01-22,96.54545454545455,52.54545454545455,21.181818181818183,40.18181818181818,11.818181818181818,10.363636363636363,207.85714285714286,129.35714285714286,19.5,28.428571428571427,24.642857142857142,19.214285714285715,2.75,76.265
2015-01-23,104.72727272727273,55.63636363636363,25.272727272727273,42.81818181818182,13.363636363636363,10.363636363636363,212.92857142857142,69.92857142857143,22.642857142857142,20.357142857142858,18.428571428571427,13.142857142857142,1.9949999999999999,72.03999999999999
2015-01-24,109.9090909090909,61.36363636363637,13.454545454545455,46.0,14.545454545454545,12.272727272727273,134.64285714285714,57.57142857142857,20.285714285714285,22.285714285714285,22.357142857142858,13.5,1.8199999999999998,69.155
2015-01-25,123.27272727272727,49.72727272727273,21.363636363636363,38.36363636363637,10.090909090909092,11.0,120.21428571428571,61.142857142857146,19.571428571428573,25.0,23.928571428571427,13.285714285714286,2.2,80.74
2015-01-26,107.36363636363636,53.09090909090909,25.454545454545453,26.09090909090909,10.818181818181818,8.727272727272727,128.21428571428572,63.785714285714285,22.785714285714285,21.785714285714285,20.071428571428573,12.714285714285714,2.525,88.265
