date, pm10, o3, no2, so2, co
2017/7/24, 33, 24, 12, 1, 8
2017/7/25, 21, 23, 10, 1, 7
2017/7/26, 426, 24, 9, 2, 7
2017/7/27, 242, 26, 12, 3, 8
2017/7/28, 39, 29, 12, 3, 8
2017/7/29, 56, 28, 9, 2, 8
2017/7/30, 64, 34, 10, 4, 8
2017/7/31, 42, 27, 15, 4, 10
2017/8/1, 24, 30, 11, 1, 9
2017/8/2, 42, 27, 11, 1, 9
2017/8/3, 51, 23, 8, 1, 9
2017/8/4, 23, 14, 11, 2, 10
2017/8/5, 31, 15, 12, 6, 10
2017/8/6, 45, 17, 10, 2, 10
2017/8/7, 47, 23, 10, 3, 10
2017/8/8, 55, 18, 14, 1, 10
2017/8/9, 44, 8, 11, 2, 10
2017/8/10, 26, 10, 11, 1, 10
2017/8/11, 40, 13, 10, 1, 10
2017/8/12, 54, 14, 10, 1, 11
2017/8/13, 29, 16, 9, 2, 10
2017/8/14, 39, 20, 11, 5, 12
2017/8/15, 59, 9, 14, 5, 12
2017/8/16, 62, 9, 9, 5, 11
2017/8/17, 24, 17, 12, 2, 11
2017/8/18, 29, 10, 12, , 11
2017/8/19, 28, 19, 7, , 10
2017/8/20, 6, 17, 8, , 11
2017/8/21, 24, 6, 11, 1, 12
2017/8/22, 38, 13, 8, , 11
2017/8/23, 47, 16, 8, , 11
2017/8/24, 17, 20, 10, , 11
2017/8/25, 39, 26, 8, 1, 11
2017/8/26, 40, 12, 8, , 11
2017/8/27, 65, 17, 9, , 11
2017/8/28, 68, 15, 12, 3, 12
2017/8/29, 63, 14, 14, 5, 13
2017/8/30, 68, 14, 14, 1, 14
2017/8/31, 83, 14, 12, 2, 13
2017/9/1, 89, 18, 9, , 13
2017/9/2, 29, 11, 15, , 15
2017/9/3, 48, 13, 9, , 13
2017/9/4, 19, 15, 12, 3, 14
2017/9/5, 29, 1, 8, , 13
2017/9/6, 55, , , , 
2017/9/11, 25, 13, 13, 3, 2
2017/9/12, 38, 16, 15, 1, 2
2017/9/13, 47, 17, 11, , 2
2017/9/14, 102, 18, 9, , 1
2017/9/15, 68, 16, 12, 1, 2
2017/9/16, 228, 20, 15, 5, 3
2017/9/17, 49, 19, 13, , 3
2017/9/18, 72, , 17, 4, 3
2017/9/19, 28, , 14, 4, 3
2017/9/20, 42, , 7, 4, 1
2017/9/21, 36, , 11, 3, 3
2017/9/22, 40, , 15, 2, 5
2017/9/23, 29, , 12, 2, 3
2017/9/24, 22, , 9, 2, 2
2017/9/25, 35, , 13, 9, 4
2017/9/26, 57, , 13, 2, 5
2017/9/27, 62, , 13, 3, 4
2017/9/28, 63, , 17, 6, 7
2017/9/29, 72, , 11, 1, 3
2017/9/30, 43, , 17, 5, 8
2017/4/1, 110, 22, 16, , 3
2017/4/2, 109, 21, 19, , 5
2017/4/3, 118, 19, 14, , 1
2017/4/4, 107, 21, 12, , 2
2017/4/5, 86, 22, 15, , 4
2017/4/6, 117, 26, 12, , 2
2017/4/7, 120, 24, 14, , 3
2017/4/8, 81, 27, 13, , 2
2017/4/9, 110, 26, 10, , 
2017/4/10, 97, 23, 14, , 3
2017/4/11, 82, 22, 17, , 3
2017/4/12, 120, 23, 15, , 2
2017/4/13, 104, 24, 15, , 2
2017/4/14, 57, 24, 13, , 1
2017/4/15, 49, 21, 11, , 
2017/4/16, 54, 62, 12, , 4
2017/4/17, 34, 98, 12, , 2
2017/4/18, 100, 120, 10, , 
2017/4/19, 69, 126, 16, , 3
2017/4/20, 45, 126, 18, , 9
2017/4/21, 107, 127, 11, , 389
2017/4/22, 64, 29, 8, , 500
2017/4/23, 77, 24, 13, , 500
2017/4/24, 82, 26, 13, , 500
2017/4/25, 61, 25, 14, , 371
2017/4/26, 76, 27, 14, , 40
2017/4/27, 92, 26, 16, , 45
2017/4/28, 90, 28, 14, , 47
2017/4/29, 107, 28, 13, , 4
2017/4/30, 76, 30, 14, , 1
2017/5/1, 157, 26, 13, 19, 2
2017/5/2, 147, 28, 7, 7, 2
2017/5/3, 62, 25, 7, 1, 3
2017/5/4, 67, 26, 10, 3, 4
2017/5/5, 67, 30, 10, 13, 5
2017/5/6, 50, 37, 12, 9, 4
2017/5/7, 74, 30, 13, 8, 4
2017/5/8, 162, 33, 9, 3, 3
2017/5/9, 53, 29, 11, 12, 4
2017/5/10, 62, 30, 6, 5, 2
2017/5/11, 49, 31, 7, 20, 2
2017/5/12, 44, 25, 9, 4, 6
2017/5/13, 46, 28, 10, 2, 4
2017/5/14, 46, 30, 12, 11, 4
2017/5/15, 131, 35, 12, 7, 4
2017/5/16, 83, 35, 15, 15, 4
2017/5/17, 87, 31, 11, 3, 3
2017/5/18, 104, 35, 7, 7, 2
2017/5/19, 91, 29, 7, 8, 2
2017/5/20, 41, 33, 11, 9, 3
2017/5/21, 28, 32, 13, 6, 4
2017/5/22, 50, 32, 11, 3, 3
2017/5/23, 56, 28, 12, 7, 4
2017/5/24, 44, 31, 12, 6, 3
2017/5/25, 61, 32, 12, 3, 3
2017/5/26, 77, 31, 9, 23, 3
2017/5/27, 76, 36, 7, 27, 2
2017/5/28, 51, 36, 10, 4, 3
2017/5/29, 56, 35, 12, 4, 3
2017/5/30, 50, 33, 9, 14, 2
2017/5/31, 40, 29, 6, 9, 1
2017/6/1, 77, 31, 9, 3, 2
2017/6/2, 25, 32, 8, 3, 2
2017/6/4, 17, 35, 8, 5, 2
2017/6/5, 47, , , , 
2017/6/8, 73, 36, 10, 5, 3
2017/6/9, 80, 32, 9, 1, 5
2017/6/10, 55, 33, 9, 5, 5
2017/6/11, 97, 28, 7, 4, 5
2017/6/12, 67, 29, 10, 9, 7
2017/6/13, 77, 29, 11, 4, 7
2017/6/14, 161, 33, 10, 2, 7
2017/6/15, 86, 30, 10, 4, 7
2017/6/16, 73, 27, 8, 5, 6
2017/6/17, 79, 26, 9, 2, 6
2017/6/18, 65, 29, 10, 2, 6
2017/6/19, 48, 21, 17, 1, 8
2017/6/20, 27, 24, 11, , 6
2017/6/21, 16, 28, 9, 1, 6
2017/6/22, 16, 25, 14, 4, 6
2017/6/23, 50, 28, 16, 8, 7
2017/6/24, 67, 29, 15, 4, 7
2017/6/25, 48, 28, 12, 2, 7
2017/6/26, 53, 28, 13, 13, 7
2017/6/27, 97, 29, 11, 9, 9
2017/6/28, 75, 34, 8, 4, 8
2017/6/29, 71, , , , 
2017/1/2, 278, 2, 49, 36, 24
2017/1/3, 570, 2, 37, 60, 38
2017/1/4, 375, 4, 43, 56, 40
2017/1/5, 331, 1, 46, 62, 59
2017/1/6, 560, , 40, 53, 25
2017/1/7, 369, 2, 32, 41, 20
2017/1/8, 132, 2, 33, 42, 23
2017/1/9, 344, 3, 36, 40, 8
2017/1/10, 190, , 38, , 
2017/1/11, 359, 8, 51, 58, 
2017/1/12, 448, 2, 35, 53, 34
2017/1/13, 415, 13, 17, 36, 23
2017/1/14, 275, 8, 28, 37, 26
2017/1/15, 184, 1, 35, 51, 32
2017/1/16, 291, , 36, 51, 34
2017/1/17, 327, 1, 36, 46, 31
2017/1/18, 472, 3, 33, 48, 28
2017/1/19, 238, 2, 33, 53, 37
2017/1/20, 497, 4, 28, 40, 22
2017/1/21, 212, 2, 28, 42, 23
2017/1/22, 165, 2, 35, 51, 32
2017/1/23, 377, , 36, 57, 40
2017/1/24, 482, 3, 29, 44, 34
2017/1/25, 229, 7, 22, 25, 12
2017/1/26, 51, 7, 38, 45, 28
2017/1/27, 139, 12, 9, 12, 2
2017/1/28, 76, 7, 24, 36, 19
2017/1/29, 142, 1, 35, 53, 35
2017/1/30, 143, 2, 38, 54, 41
2017/1/31, 541, , 42, 56, 42
2017/2/1, 506, , 38, 52, 36
2017/2/2, 437, , 39, 54, 32
2017/2/3, 474, 1, 36, 50, 27
2017/2/4, 256, 7, 27, 45, 20
2017/2/5, 219, 9, 21, 25, 7
2017/2/6, 78, 11, 17, 15, 4
2017/2/7, 72, 5, 30, 30, 16
2017/2/8, 183, 1, 38, 41, 37
2017/2/9, 311, 4, 36, 50, 29
2017/2/10, 403, 3, 35, 46, 22
2017/2/11, 313, 1, 38, 50, 31
2017/2/12, 276, 6, 32, 46, 27
2017/2/13, 309, 1, 34, 42, 2
2017/2/14, 189, 14, 13, 22, 10
2017/2/15, 81, 17, 20, 18, 16
2017/2/16, 101, 9, 28, 27, 23
2017/2/17, 160, 13, 25, 30, 22
2017/2/18, 148, 18, 13, 11, 11
2017/2/19, 64, 12, 27, 22, 22
2017/2/20, 126, 14, , 28, 25
2017/2/21, 149, 17, , 16, 20
2017/2/22, 125, 10, , 24, 20
2017/2/23, 140, 14, 25, 22, 18
2017/2/24, 125, 12, 24, 20, 19
2017/2/25, 128, 14, 25, 20, 22
2017/2/26, 151, 15, 22, 17, 17
2017/2/27, 130, 23, 16, 14, 12
2017/2/28, 97, 16, 18, 21, 12
2017/3/1, 96, 12, 23, 22, 17
2017/3/2, 106, 15, 17, 15, 13
2017/3/3, 97, 21, 9, 9, 5
2017/3/4, 55, 20, 11, 10, 7
2017/3/5, 63, 17, 11, 6, 7
2017/3/6, 54, 14, 16, 10, 11
2017/3/7, 90, 14, 18, 14, 11
2017/3/8, 92, 11, 23, 20, 13
2017/3/9, 115, 16, 18, 15, 13
2017/3/10, 127, , , , 
2017/3/12, 141, 15, 22, 24, 10
2017/3/13, 119, 17, 21, 21, 13
2017/3/14, 128, 17, 18, 17, 10
2017/3/15, 107, 16, 16, 17, 9
2017/3/16, 110, 19, 11, 10, 4
2017/3/17, 110, 16, 10, 12, 4
2017/3/18, 57, 20, 11, 11, 5
2017/3/19, 70, 18, 15, 13, 8
2017/3/20, 91, 18, 15, 12, 10
2017/3/21, 130, 23, 10, 7, 3
2017/3/22, 88, 20, 9, 6, 
2017/3/23, 68, 23, 10, 7, 
2017/3/24, 99, 24, 13, 9, 3
2017/3/25, 106, 19, 17, 22, 3
2017/3/26, 92, 23, 16, 13, 3
2017/3/27, 97, 22, 16, , 3
2017/3/28, 113, 21, 12, , 1
2017/3/29, 115, 23, 16, , 3
2017/3/30, 97, 19, 19, , 4
2017/3/31, 110, 18, 18, , 5
2016/10/1, 74, 12, 13, 12, 2
2016/10/2, 101, 10, 12, 1, 2
2016/10/3, 103, 7, 12, 9, 
2016/10/4, 89, 7, 17, 1, 5
2016/10/5, 57, 11, 11, 4, 1
2016/10/6, 50, 14, 10, 4, 
2016/10/7, 125, 12, 13, 10, 
2016/10/8, 82, 12, 13, 7, 
2016/10/9, 91, 17, 12, 5, 
2016/10/10, 112, 13, 15, 7, 11
2016/10/11, 114, 10, 20, 12, 9
2016/10/12, 129, 9, 22, 11, 10
2016/10/13, 164, 13, 21, 8, 10
2016/10/14, 178, 11, 14, 5, 7
2016/10/15, 246, 15, 11, 2, 6
2016/10/16, 50, 13, 13, 4, 7
2016/10/17, 76, 15, 10, 4, 5
2016/10/18, 60, 17, 11, 6, 3
2016/10/19, 43, 18, 11, 5, 5
2016/10/20, 69, 11, 21, 13, 11
2016/10/21, 138, 9, 18, 9, 15
2016/10/22, 120, 9, 15, 7, 8
2016/10/23, 93, 14, 9, 3, 5
2016/10/24, 41, 17, 10, 6, 5
2016/10/25, 52, 12, 17, 13, 9
2016/10/26, 79, 18, 14, 12, 7
2016/10/27, 212, 18, 13, 9, 6
2016/10/28, 96, 12, 14, 11, 5
2016/10/29, 105, 16, 15, 12, 9
2016/10/30, 108, 11, 17, 18, 8
2016/10/31, 105, 8, 23, 31, 11
2016/11/1, 175, 3, 29, 30, 14
2016/11/2, 201, 2, 26, 18, 15
2016/11/3, 227, 3, 24, 16, 19
2016/11/4, 183, 14, 10, 4, 1
2016/11/5, 76, 12, 13, 7, 6
2016/11/6, 53, 10, 24, 18, 13
2016/11/7, 104, 13, 23, 21, 15
2016/11/8, 109, 6, 26, 22, 15
2016/11/9, 122, 11, 26, 13, 12
2016/11/10, 88, 4, 33, 23, 19
2016/11/11, 130, 1, 29, 22, 24
2016/11/12, 152, 7, 22, 9, 11
2016/11/13, 175, 5, 26, 30, 20
2016/11/14, 172, 7, 28, 32, 16
2016/11/15, 119, 9, 26, 28, 20
2016/11/16, 136, 7, 23, 24, 15
2016/11/17, 101, 11, 13, 9, 2
2016/11/18, 38, 13, 16, 20, 6
2016/11/19, 71, 8, 25, 37, 13
2016/11/20, 141, 9, 30, 37, 18
2016/11/21, 250, 7, 31, 42, 19
2016/11/22, 219, 1, 42, 47, 29
2016/11/23, 301, 2, 38, 51, 29
2016/11/24, 394, 4, 33, 47, 19
2016/11/25, 274, 3, 35, 39, 22
2016/11/26, 178, 2, 39, 48, 35
2016/11/27, 291, 1, 39, 58, 47
2016/11/28, 530, 2, 35, 51, 36
2016/11/29, 292, 4, 32, 29, 18
2016/11/30, 131, 2, 41, 40, 29
2016/12/1, 216, 2, 38, 42, 32
2016/12/2, 222, 3, 33, 44, 31
2016/12/3, 369, 9, 19, 16, 6
2016/12/4, 46, 8, 32, 33, 18
2016/12/5, 179, 1, 42, 48, 36
2016/12/6, 353, 3, 34, 40, 25
2016/12/7, 215, 3, 33, 34, 19
2016/12/8, 160, 1, 36, 50, 31
2016/12/9, 432, 2, 31, 48, 21
2016/12/10, 307, 1, 39, 54, 53
2016/12/11, 464, 2, 34, 57, 42
2016/12/12, 445, 1, 35, 50, 27
2016/12/13, 373, 1, 37, 55, 36
2016/12/14, 508, 1, 39, 50, 35
2016/12/15, 342, 1, 40, 67, 66
2016/12/16, 733, , 46, 53, 42
2016/12/17, 298, 1, 38, 54, 41
2016/12/18, 349, 1, 35, 55, 64
2016/12/19, 420, 1, 31, 47, 
2016/12/20, 209, 1, 29, 29, 
2016/12/21, 120, 3, 28, 31, 
2016/12/22, 105, 1, 38, 42, 
2016/12/23, 259, 1, 38, 51, 
2016/12/24, 325, 2, 32, 31, 
2016/12/25, 162, 1, 36, 51, 
2016/12/26, 392, 2, 30, 47, 
2016/12/27, 290, 1, 34, 44, 
2016/12/28, 249, 1, 39, 60, 
2016/12/29, 484, 1, 35, 51, 
2016/12/30, 326, 1, 34, 57, 
2016/12/31, 352, 3, , 84, 
2017/1/1, 104, 2, , 86, 
2016/7/1, 60, 28, 11, 8, 4
2016/7/2, 80, 27, 10, 5, 4
2016/7/3, 73, 30, 8, 1, 4
2016/7/4, 108, 22, 14, 3, 5
2016/7/5, 62, 39, 11, 9, 6
2016/7/6, 67, 21, 18, 3, 8
2016/7/7, 175, 39, 12, 2, 7
2016/7/8, 85, 20, 17, , 9
2016/7/9, 178, 13, 8, , 7
2016/7/10, 31, 17, 6, , 6
2016/7/11, 38, 17, 5, , 6
2016/7/12, 37, 24, 6, , 6
2016/7/13, 60, 25, 8, , 6
2016/7/14, 42, 18, 8, , 7
2016/7/15, 34, 24, 9, , 6
2016/7/16, 39, 32, 8, 6, 6
2016/7/17, 56, 29, 7, 1, 6
2016/7/18, 51, 29, 8, 2, 5
2016/7/19, 48, 23, 9, 5, 2
2016/7/20, 70, 23, 10, 2, 3
2016/7/21, 44, 22, 8, , 2
2016/7/22, 17, 21, 8, , 4
2016/7/23, 61, 33, 12, 1, 9
2016/7/24, 153, 30, 12, 4, 5
2016/7/25, 106, 21, 10, 1, 3
2016/7/26, 104, 25, 12, 1, 4
2016/7/27, 115, 28, 12, 2, 6
2016/7/28, 113, 20, 10, 8, 
2016/7/29, 53, 17, 9, , 
2016/7/30, 59, 24, 8, , 
2016/7/31, 70, 28, 10, , 1
2016/8/1, 84, 26, 9, , 1
2016/8/2, 82, 34, 11, , 2
2016/8/3, 83, 27, 8, , 1
2016/8/4, 92, 12, 6, , 1
2016/8/5, 44, 16, 5, , 
2016/8/6, 37, 21, 9, , 
2016/8/7, 47, 27, 7, , 
2016/8/8, 51, 11, 10, , 1
2016/8/9, 28, 29, 8, , 1
2016/8/10, 31, 21, 6, , 
2016/8/11, 40, 26, 6, , 
2016/8/12, 30, 16, 7, 2, 1
2016/8/13, 22, 15, 7, 5, 1
2016/8/14, 35, 15, 8, 9, 2
2016/8/15, 55, 15, 9, 4, 2
2016/8/16, 79, 18, 11, 1, 2
2016/8/17, 69, 21, 8, , 2
2016/8/18, 78, 18, 9, 1, 2
2016/8/19, 64, 17, 7, 2, 4
2016/8/20, 69, 21, 8, 2, 3
2016/8/21, 41, 17, 9, 1, 3
2016/8/22, 191, 12, 9, , 4
2016/8/23, 86, 11, 5, 1, 3
2016/8/24, 48, 20, 8, , 4
2016/8/25, 63, 16, 9, 2, 4
2016/8/26, 68, 20, 10, 1, 4
2016/8/27, 47, 21, 10, 1, 4
2016/8/28, 49, 24, 8, , 3
2016/8/29, 43, 21, 10, 1, 4
2016/8/30, 17, 20, 12, 3, 5
2016/8/31, 40, 14, 12, 1, 5
2016/9/1, 53, 18, 9, 3, 5
2016/9/2, 69, 10, 5, 8, 4
2016/9/3, 86, 6, 5, , 4
2016/9/4, 72, 13, 7, 2, 5
2016/9/5, 82, 11, 8, 1, 5
2016/9/6, 78, 18, 11, , 5
2016/9/7, 97, 12, 10, 1, 7
2016/9/8, 115, 12, 8, 3, 6
2016/9/9, 83, 12, 11, 1, 6
2016/9/10, 79, 12, 12, 9, 6
2016/9/11, 80, 18, 10, 4, 5
2016/9/12, 75, 14, 10, 1, 
2016/9/13, 70, 16, 11, 1, 
2016/9/14, 90, 13, 12, , 
2016/9/15, 72, 15, 13, 4, 
2016/9/16, 88, 8, 13, 1, 
2016/9/17, 77, 13, 10, , 
2016/9/18, 55, 17, 10, 1, 
2016/9/19, 50, 17, 12, 6, 5
2016/9/20, 165, 14, 11, 4, 5
2016/9/21, 76, 14, 13, 6, 5
2016/9/22, 92, 15, 12, , 5
2016/9/23, 40, 16, 9, 2, 2
2016/9/24, 65, 12, 11, 3, 
2016/9/25, 64, 13, 11, 4, 4
2016/9/26, 92, 14, 17, 9, 3
2016/9/27, 104, 11, 14, 2, 1
2016/9/28, 81, 12, 18, 4, 7
2016/9/29, 97, 17, 16, 6, 7
2016/9/30, 108, 20, 11, 2, 2
2016/4/1, 53, 26, 11, 10, 15
2016/4/2, 65, 21, 12, 14, 4
2016/4/3, 90, 22, 12, 21, 4
2016/4/4, 94, 24, 14, 14, 4
2016/4/5, 117, 23, 10, 19, 5
2016/4/6, 128, 28, 12, 10, 5
2016/4/7, 140, 24, 13, 8, 3
2016/4/8, 134, 25, 12, 10, 3
2016/4/9, 117, 26, 7, 6, 3
2016/4/10, 341, 24, 9, 6, 5
2016/4/11, 95, 26, 13, 12, 4
2016/4/12, 191, 27, 9, 6, 6
2016/4/13, 87, 20, 15, 15, 4
2016/4/14, 107, 22, 8, 6, 1
2016/4/15, 51, 25, 7, 7, 1
2016/4/16, 43, 28, 10, 6, 3
2016/4/17, 69, 21, 14, 10, 4
2016/4/18, 85, 26, 13, 10, 5
2016/4/19, 170, 35, 10, 19, 4
2016/4/20, 351, 32, 5, 4, 
2016/4/21, 387, 32, 7, 5, 17
2016/4/22, 89, 27, 10, 8, 4
2016/4/23, 150, 23, 11, 11, 8
2016/4/24, 74, 24, 13, 11, 3
2016/4/25, 117, 28, 11, 8, 4
2016/4/26, 104, 27, 8, 5, 4
2016/4/27, 94, 26, 8, 4, 4
2016/4/28, 90, 24, 14, 13, 5
2016/4/29, 113, 21, 8, 5, 4
2016/4/30, 114, 27, 8, 5, 3
2016/5/1, 33, 24, 15, 23, 5
2016/5/2, 62, 28, 11, 6, 4
2016/5/3, 69, 19, 9, 4, 3
2016/5/4, 104, 26, 7, 2, 2
2016/5/5, 57, 21, 15, 12, 8
2016/5/6, 67, 26, 11, 10, 4
2016/5/7, 130, 29, 11, 5, 5
2016/5/8, 67, 27, 12, 7, 4
2016/5/9, 99, 20, 10, 5, 4
2016/5/10, 89, 18, 11, 3, 4
2016/5/11, 43, 21, 17, 7, 6
2016/5/12, 64, 28, 14, 4, 6
2016/5/13, 123, 24, 8, 2, 2
2016/5/14, 67, 32, 13, 9, 5
2016/5/15, 89, 30, 15, 6, 4
2016/5/16, 98, 31, 14, 5, 4
2016/5/17, 116, 28, 9, 4, 2
2016/5/18, 167, 17, 7, 4, 3
2016/5/19, 92, 20, 5, , 2
2016/5/20, 63, 26, 6, 2, 2
2016/5/21, 73, 19, 11, 4, 3
2016/5/22, 74, 19, 13, 3, 4
2016/5/23, 142, 28, 11, 2, 4
2016/5/24, 171, 25, 7, 1, 2
2016/5/25, 180, 35, 12, 7, 4
2016/5/26, 175, 37, 13, 6, 3
2016/5/27, 206, 23, 6, , 1
2016/5/28, 130, 21, 11, 11, 3
2016/5/29, 90, 25, 11, 2, 3
2016/5/30, 83, 24, 13, 6, 3
2016/5/31, 88, 29, 12, 3, 3
2016/6/1, 89, 30, 12, 2, 3
2016/6/2, 90, 27, 10, 5, 3
2016/6/3, 94, 13, 6, 10, 3
2016/6/4, 56, 19, 8, 7, 3
2016/6/5, 50, 26, 7, 1, 3
2016/6/6, 71, 21, 10, 3, 3
2016/6/7, 107, 21, 7, 3, 3
2016/6/8, 55, 14, 6, 2, 3
2016/6/9, 20, 14, 7, 4, 3
2016/6/10, 42, 22, 8, 4, 4
2016/6/11, 52, 19, 9, 3, 4
2016/6/12, 60, 20, 9, 3, 4
2016/6/13, 60, 13, 4, 3, 
2016/6/14, 20, , , , 
2016/6/16, 91, 27, 11, 1, 4
2016/6/17, 85, 26, 12, 6, 5
2016/6/18, 76, 19, 10, 2, 4
2016/6/19, 37, 21, 7, 1, 4
2016/6/20, 224, 16, 9, , 4
2016/6/21, 19, 13, 10, , 4
2016/6/22, 26, 18, 10, 1, 4
2016/6/23, 38, 22, 15, 8, 4
2016/6/24, 66, 24, 13, 2, 4
2016/6/25, 80, 23, 12, 1, 4
2016/6/26, 84, 17, 7, 1, 3
2016/6/27, 96, 12, 8, 1, 5
2016/6/28, 67, 19, 6, 1, 4
2016/6/29, 40, 16, 8, 1, 4
2016/6/30, 62, 19, 10, 6, 4
2016/1/4, 105, 6, 28, 44, 
2016/1/5, 198, 6, 24, 39, 
2016/1/6, 179, 3, 34, 57, 
2016/1/7, 331, 2, 40, 65, 
2016/1/8, 510, 3, 38, 69, 
2016/1/9, 668, 2, 38, 72, 
2016/1/10, 665, 3, 40, 72, 
2016/1/11, 624, 2, 50, 88, 
2016/1/12, 886, 1, 38, 73, 
2016/1/13, 645, 1, 34, 57, 
2016/1/14, 271, 1, 36, 58, 
2016/1/15, 524, , , , 
2016/1/18, 418, 2, 38, 58, 29
2016/1/19, 298, 4, 34, 48, 17
2016/1/20, 309, 15, 19, 56, 13
2016/1/21, 167, 16, 13, 52, 10
2016/1/22, 68, 10, 25, 64, 20
2016/1/23, 148, 2, 41, , 42
2016/1/24, 586, 2, 46, , 57
2016/1/25, 575, 8, 29, , 24
2016/1/26, 311, 5, 35, , 34
2016/1/27, 386, 1, 39, 50, 30
2016/1/28, 405, 3, 37, 50, 32
2016/1/29, 373, 5, 33, 58, 33
2016/1/30, 462, 4, 38, 58, 42
2016/1/31, 549, 1, 41, 61, 38
2016/2/1, 496, 2, 45, 65, 48
2016/2/2, 671, 2, 43, 59, 35
2016/2/3, 474, 4, 37, 49, 28
2016/2/4, 354, 7, 32, 44, 22
2016/2/5, 193, 3, 40, 55, 29
2016/2/6, 471, 5, 36, 49, 30
2016/2/7, 246, 3, 39, 53, 51
2016/2/8, 618, 1, 36, 50, 31
2016/2/9, 247, 1, 34, 49, 31
2016/2/10, 244, 10, 16, 29, 16
2016/2/11, 143, 15, 14, 15, 5
2016/2/12, 80, 13, 20, 25, 51
2016/2/13, 125, 13, 22, 22, 153
2016/2/14, 102, 17, 21, 25, 118
2016/2/15, 117, 10, 33, 40, 165
2016/2/16, 346, 15, 25, 32, 147
2016/2/17, 171, 15, 25, 28, 97
2016/2/18, 190, 20, 22, 23, 
2016/2/19, 162, 12, 27, 38, 
2016/2/20, 150, 17, 19, 32, 
2016/2/21, 162, 21, 24, 27, 2
2016/2/22, 133, 14, 26, 30, 3
2016/2/23, 176, 11, 27, 35, 1
2016/2/24, 195, 13, 25, 37, 
2016/2/25, 190, 15, 25, 33, 1
2016/2/26, 113, 17, 25, 33, 2
2016/2/27, 120, 14, 30, 40, 2
2016/2/28, 143, 14, 31, 40, 1
2016/2/29, 141, 17, 24, 31, 1
2016/3/1, 110, 13, 25, 26, 
2016/3/2, 108, 16, 19, 27, 
2016/3/3, 108, 24, 8, 14, 
2016/3/4, 114, 23, 16, 11, 1
2016/3/5, 68, 20, 16, 23, 
2016/3/6, 92, 19, 14, 12, 
2016/3/7, 73, 20, 19, 22, 2
2016/3/8, 116, 20, 20, 24, 2
2016/3/9, 93, 20, 27, 30, 2
2016/3/10, 135, 15, 24, 27, 
2016/3/11, 117, 25, 24, 31, 12
2016/3/12, 283, 19, 19, 23, 
2016/3/13, 102, 12, 26, 37, 
2016/3/14, 123, 13, 27, 32, 
2016/3/15, 133, 19, 15, 17, 
2016/3/16, 118, 28, 12, 12, 
2016/3/17, 63, 20, 16, 14, 
2016/3/18, 79, 11, 26, 32, 5
2016/3/19, 125, 15, 21, 30, 
2016/3/20, 112, 18, 13, 20, 
2016/3/21, 95, 18, 16, 18, 10
2016/3/22, 123, 19, 13, 14, 9
2016/3/23, 125, 21, 10, 12, 6
2016/3/24, 96, 22, 17, 16, 11
2016/3/25, 173, 17, 16, 16, 10
2016/3/26, 162, 19, 13, 18, 9
2016/3/27, 147, 22, 8, 9, 4
2016/3/28, 100, 17, 18, 21, 13
2016/3/29, 130, 18, 18, 21, 21
2016/3/30, 193, 17, 8, 11, 5
2016/3/31, 64, 23, 7, 5, 4
2015/10/1, 65, 23, 13, 1, 8
2015/10/2, 60, 15, 17, 7, 8
2015/10/3, 89, 18, 19, 7, 9
2015/10/4, 85, 15, 19, 7, 9
2015/10/5, 105, 17, 18, 7, 7
2015/10/6, 133, 18, 8, 3, 6
2015/10/7, 59, 20, 12, 4, 8
2015/10/8, 55, 18, 13, 4, 7
2015/10/9, 81, 14, 16, 4, 10
2015/10/10, 100, 14, 21, 8, 12
2015/10/11, 100, 11, 22, 7, 11
2015/10/12, 104, 6, 16, 2, 13
2015/10/13, 67, 7, 27, 10, 12
2015/10/14, 224, 7, 24, 8, 12
2015/10/15, 180, 18, 9, 2, 6
2015/10/16, 147, 13, 6, 2, 6
2015/10/17, 33, 8, 21, 7, 13
2015/10/18, 85, 9, 20, 6, 13
2015/10/19, 86, 8, 20, 8, 12
2015/10/20, 74, 7, 22, 5, 13
2015/10/21, 66, 7, 25, 14, 14
2015/10/22, 92, 6, 25, 14, 17
2015/10/23, 113, 20, 9, , 7
2015/10/24, 79, 15, 13, 2, 10
2015/10/25, 57, 19, 10, 3, 9
2015/10/26, 86, 20, 15, 4, 12
2015/10/27, 45, 19, 9, 3, 9
2015/10/28, 46, 16, 27, 10, 17
2015/10/29, 77, 14, 21, 9, 15
2015/10/30, 70, 5, 19, 7, 17
2015/10/31, 70, , , , 
2015/11/2, 110, 12, 17, , 16
2015/11/3, 73, 17, 14, , 11
2015/11/4, 57, 11, 20, , 15
2015/11/5, 79, 9, 20, , 17
2015/11/6, 99, 11, 18, , 17
2015/11/7, 87, 6, 20, , 17
2015/11/8, 90, 5, 22, , 11
2015/11/9, 167, 8, 26, , 14
2015/11/10, 188, 3, 30, , 7
2015/11/11, 160, 4, 27, , 22
2015/11/12, 132, 3, 14, , 
2015/11/13, 104, , , , 
2015/11/15, 187, 14, 18, 11, 5
2015/11/16, 92, 7, 26, 24, 3
2015/11/17, 207, 3, 34, 32, 4
2015/11/18, 159, 4, 34, 37, 5
2015/11/19, 109, 3, 36, 45, 7
2015/11/20, 149, 7, 32, 43, 15
2015/11/21, 121, 7, 30, 46, 7
2015/11/22, 111, 6, 32, 46, 16
2015/11/23, 143, 4, 35, 49, 8
